composer/composer,src/Composer/Repository/RepositorySecurityException.php,Eric Daspet,4.20234545533754
composer/composer,src/Composer/Repository/Vcs/GitBitbucketDriver.php,Per Bernhardt,3.42936994018917
composer/composer,src/Composer/Repository/Vcs/GitBitbucketDriver.php,FranÃƒÂ§ois Pluchino,3.4298625971935
composer/composer,src/Composer/Repository/Vcs/GitBitbucketDriver.php,Jordi Boggiano,3.80734496541805
composer/composer,src/Composer/Repository/Vcs/GitDriver.php,Jordi Boggiano,11.3246901073603
composer/composer,src/Composer/Repository/Vcs/GitHubDriver.php,Jordi Boggiano,9.1537332722619
composer/composer,src/Composer/Repository/Vcs/HgBitbucketDriver.php,FranÃƒÂ§ois Pluchino,3.34919066571533
composer/composer,src/Composer/Repository/Vcs/HgBitbucketDriver.php,Per Bernhardt,3.54850635668674
composer/composer,src/Composer/Repository/Vcs/HgBitbucketDriver.php,Jordi Boggiano,3.89971588544619
composer/composer,src/Composer/Repository/Vcs/HgDriver.php,Per Bernhardt,4.27688397189549
composer/composer,src/Composer/Repository/Vcs/HgDriver.php,Jordi Boggiano,4.88894336658792
composer/composer,src/Composer/Repository/Vcs/PerforceDriver.php,matt-whittom,5.56136994018917
composer/composer,src/Composer/Repository/VcsRepository.php,Jordi Boggiano,9.45250635668674
composer/composer,src/Composer/Repository/Vcs/SvnDriver.php,Jordi Boggiano,7.28667975946974
composer/composer,src/Composer/Repository/Vcs/SvnDriver.php,till,7.87740948960037
composer/composer,src/Composer/Repository/Vcs/VcsDriverInterface.php,Jordi Boggiano,4.54349926512077
composer/composer,src/Composer/Repository/Vcs/VcsDriver.php,Jordi Boggiano,4.56884472045831
composer/composer,src/Composer/Repository/Vcs/VcsDriver.php,FranÃƒÂ§ois Pluchino,5.13703636601261
composer/composer,src/Composer/Repository/WritableArrayRepository.php,Jordi Boggiano,4.391
composer/composer,src/Composer/Repository/WritableRepositoryInterface.php,everzet,3.87437043010865
composer/composer,src/Composer/Repository/WritableRepositoryInterface.php,Jordi Boggiano,3.949
composer/composer,src/Composer/Script/CommandEvent.php,Jordi Boggiano,4.49649975504026
composer/composer,src/Composer/Script/Event.php,FranÃƒÂ§ois Pluchino,3.88749926512077
composer/composer,src/Composer/Script/PackageEvent.php,Jordi Boggiano,4.36634545533754
composer/composer,src/Composer/Script/ScriptEvents.php,Jordi Boggiano,4.09436284215325
composer/composer,src/Composer/Util/AuthHelper.php,Jordi Boggiano,4.391
composer/composer,src/Composer/Util/ComposerMirror.php,Jordi Boggiano,4.883
composer/composer,src/Composer/Util/ConfigValidator.php,Johannes M. Schmitt,3.84971588544619
composer/composer,src/Composer/Util/ConfigValidator.php,Jordi Boggiano,4.30836284215324
composer/composer,src/Composer/Util/ErrorHandler.php,Jordi Boggiano,3.621
composer/composer,src/Composer/Util/ErrorHandler.php,Artem Lopata,4.03834545533754
